Local Government Directory,,,,,,,,,,,,,
All Villages of Gujarat(State code : 24) State,,,,,,,,,,,,,
,,,,,,,,,,,,,
S.No.,District Code,District Name,Sub-District Code,Sub-District Name,Village Code,Village Version,Village Name ,Village Name,Village Category,Village Status,Census 2001 Code,Census 2011 Code,
165,438,Ahmedabad,3778,Detroj-Rampura,511488,1,Rampura,,Rural,Inhabitant,00508500,511488,
166,438,Ahmedabad,3778,Detroj-Rampura,511471,1,Ratanpura,,Rural,Inhabitant,00506800,511471,
167,438,Ahmedabad,3778,Detroj-Rampura,511442,1,Rudatal,,Rural,Inhabitant,00503900,511442,
168,438,Ahmedabad,3778,Detroj-Rampura,511481,1,Sadatpura,,Rural,Inhabitant,00507800,511481,
169,438,Ahmedabad,3778,Detroj-Rampura,511477,1,Sangpara,,Rural,Inhabitant,00507400,511477,
170,438,Ahmedabad,3778,Detroj-Rampura,511483,1,Shihor,,Rural,Inhabitant,00508000,511483,
171,438,Ahmedabad,3778,Detroj-Rampura,511463,1,Shobhasan,,Rural,Inhabitant,00506000,511463,
172,438,Ahmedabad,3778,Detroj-Rampura,511447,1,Sujpura,,Rural,Inhabitant,00504400,511447,
173,438,Ahmedabad,3778,Detroj-Rampura,511446,1,Sunvala,,Rural,Inhabitant,00504300,511446,
174,438,Ahmedabad,3778,Detroj-Rampura,511468,1,Umedpura,,Rural,Inhabitant,00506500,511468,
175,438,Ahmedabad,3778,Detroj-Rampura,511490,1,Vasna (Chhaniyar),,Rural,Inhabitant,00508700,511490,
176,438,Ahmedabad,3787,Dhandhuka,511878,1,Adval,,Rural,Inhabitant,00548300,511878,
177,438,Ahmedabad,3787,Dhandhuka,511922,1,Akru,,Rural,Inhabitant,00552700,511922,
178,438,Ahmedabad,3787,Dhandhuka,511913,1,Aniyali Bhimji,,Rural,Inhabitant,00551800,511913,
179,438,Ahmedabad,3787,Dhandhuka,511875,1,Bajarda,,Rural,Inhabitant,00548000,511875,
180,438,Ahmedabad,3787,Dhandhuka,511920,1,Bhalgamda,,Rural,Inhabitant,00552500,511920,
181,438,Ahmedabad,3787,Dhandhuka,511893,1,Chharodiya,,Rural,Inhabitant,00549800,511893,
182,438,Ahmedabad,3787,Dhandhuka,511895,1,Chhasiyana,,Rural,Inhabitant,00550000,511895,
183,438,Ahmedabad,3787,Dhandhuka,930198,1,Dhandhuka,Dhandhuka,Urban,Inhabitant,,000000,
184,438,Ahmedabad,3787,Dhandhuka,512592,2,Dholi,,Rural,Inhabitant,00619900,512592,
185,438,Ahmedabad,3787,Dhandhuka,511888,1,Fattepur,,Rural,Inhabitant,00549300,511888,
186,438,Ahmedabad,3787,Dhandhuka,511879,1,Fedra,,Rural,Inhabitant,00548400,511879,
187,438,Ahmedabad,3787,Dhandhuka,511896,1,Galsana,,Rural,Inhabitant,00550100,511896,
188,438,Ahmedabad,3787,Dhandhuka,511899,1,Gunjar,,Rural,Inhabitant,00550400,511899,
189,438,Ahmedabad,3787,Dhandhuka,512590,2,Hadala,,Rural,Inhabitant,00619700,512590,
190,438,Ahmedabad,3787,Dhandhuka,511890,1,Haripura,,Rural,Inhabitant,00549500,511890,
191,438,Ahmedabad,3787,Dhandhuka,511892,1,Jaliya,,Rural,Inhabitant,00549700,511892,
192,438,Ahmedabad,3787,Dhandhuka,512591,2,Jasapar,,Rural,Inhabitant,00619800,512591,
193,438,Ahmedabad,3787,Dhandhuka,511912,1,Jaska,,Rural,Inhabitant,00551700,511912,
194,438,Ahmedabad,3787,Dhandhuka,511889,1,Khadol,,Rural,Inhabitant,00549400,511889,
195,438,Ahmedabad,3787,Dhandhuka,511923,1,Kharad,,Rural,Inhabitant,00552800,511923,
196,438,Ahmedabad,3787,Dhandhuka,511901,1,Khasta,,Rural,Inhabitant,00550600,511901,
197,438,Ahmedabad,3787,Dhandhuka,511900,1,Kotda,,Rural,Inhabitant,00550500,511900,
198,438,Ahmedabad,3787,Dhandhuka,511910,1,Kothadiya,,Rural,Inhabitant,00551500,511910,
199,438,Ahmedabad,3787,Dhandhuka,511898,1,Morasiya,,Rural,Inhabitant,00550300,511898,
200,438,Ahmedabad,3787,Dhandhuka,511873,1,Mota Tradiya,,Rural,Inhabitant,00547800,511873,
201,438,Ahmedabad,3787,Dhandhuka,511874,1,Nana Tradiya,,Rural,Inhabitant,00547900,511874,
202,438,Ahmedabad,3787,Dhandhuka,511886,1,Pachchham,,Rural,Inhabitant,00549100,511886,
203,438,Ahmedabad,3787,Dhandhuka,511911,1,Padana,,Rural,Inhabitant,00551600,511911,
204,438,Ahmedabad,3787,Dhandhuka,511919,1,Parabdi,,Rural,Inhabitant,00552400,511919,
205,438,Ahmedabad,3787,Dhandhuka,511917,1,Pipal,,Rural,Inhabitant,00552200,511917,
206,438,Ahmedabad,3787,Dhandhuka,512523,2,Rangpur,,Rural,Inhabitant,00613000,512523,
207,438,Ahmedabad,3787,Dhandhuka,511887,1,Ratanpur,,Rural,Inhabitant,00549200,511887,
208,438,Ahmedabad,3787,Dhandhuka,511891,1,Rayka,,Rural,Inhabitant,00549600,511891,
209,438,Ahmedabad,3787,Dhandhuka,511909,1,Rojka,,Rural,Inhabitant,00551400,511909,
210,438,Ahmedabad,3787,Dhandhuka,511914,1,Salasar,,Rural,Inhabitant,00551900,511914,
211,438,Ahmedabad,3787,Dhandhuka,511877,1,Sarwal,,Rural,Inhabitant,00548200,511877,
212,438,Ahmedabad,3787,Dhandhuka,511918,1,Tagadi,,Rural,Inhabitant,00552300,511918,
213,438,Ahmedabad,3787,Dhandhuka,511908,1,Umargadh,,Rural,Inhabitant,00551300,511908,
214,438,Ahmedabad,3787,Dhandhuka,511916,1,Unchdi,,Rural,Inhabitant,00552100,511916,
215,438,Ahmedabad,3787,Dhandhuka,511897,1,Vagad,,Rural,Inhabitant,00550200,511897,
216,438,Ahmedabad,3787,Dhandhuka,512593,2,Vakhatpar,,Rural,Inhabitant,00620000,512593,
217,438,Ahmedabad,3787,Dhandhuka,511894,1,Vasana,,Rural,Inhabitant,00549900,511894,
218,438,Ahmedabad,3787,Dhandhuka,511876,1,Zanzarka,,Rural,Inhabitant,00548100,511876,
219,438,Ahmedabad,3787,Dhandhuka,511921,1,Zinzar,,Rural,Inhabitant,00552600,511921,
220,438,Ahmedabad,6167,Dholera,511905,2,Ambli,,Rural,Inhabitant,00551000,511905,
221,438,Ahmedabad,6167,Dholera,511882,2,Anandpur,,Rural,Inhabitant,00548700,511882,
222,438,Ahmedabad,6167,Dholera,511941,2,Bavliyari,,Rural,Inhabitant,00554600,511941,
223,438,Ahmedabad,6167,Dholera,511926,2,Bhadiyad,,Rural,Inhabitant,00553100,511926,
224,438,Ahmedabad,6167,Dholera,511938,2,Bhangadh,,Rural,Inhabitant,00554300,511938,
225,438,Ahmedabad,6167,Dholera,511930,2,Bhimtalav,,Rural,Inhabitant,00553500,511930,
226,438,Ahmedabad,6167,Dholera,511883,2,Buranpur,,Rural,Inhabitant,00548800,511883,
227,438,Ahmedabad,6167,Dholera,511924,2,Cher,,Rural,Inhabitant,00552900,511924,
228,438,Ahmedabad,6167,Dholera,511880,2,Dhanala,,Rural,Inhabitant,00548500,511880,
229,438,Ahmedabad,6167,Dholera,511931,2,Dholera,,Rural,Inhabitant,00553600,511931,
230,438,Ahmedabad,6167,Dholera,511902,2,Gamph,,Rural,Inhabitant,00550700,511902,
231,438,Ahmedabad,6167,Dholera,511928,2,Gogla,,Rural,Inhabitant,00553300,511928,
232,438,Ahmedabad,6167,Dholera,511925,2,Gorasu,,Rural,Inhabitant,00553000,511925,
233,438,Ahmedabad,6167,Dholera,511872,2,Hebatpur,,Rural,Inhabitant,00547700,511872,
234,438,Ahmedabad,6167,Dholera,511927,2,Kadipur,,Rural,Inhabitant,00553200,511927,
235,438,Ahmedabad,6167,Dholera,511904,2,Kamatalav,,Rural,Inhabitant,00550900,511904,
236,438,Ahmedabad,6167,Dholera,511881,2,Kamiyala,,Rural,Inhabitant,00548600,511881,
237,438,Ahmedabad,6167,Dholera,511907,2,Kasindra,,Rural,Inhabitant,00551200,511907,
238,438,Ahmedabad,6167,Dholera,511929,2,Khun,,Rural,Inhabitant,00553400,511929,
239,438,Ahmedabad,6167,Dholera,511936,2,Mahadevpura,,Rural,Inhabitant,00554100,511936,
240,438,Ahmedabad,6167,Dholera,511939,2,Mingalpur,,Rural,Inhabitant,00554400,511939,
241,438,Ahmedabad,6167,Dholera,511934,2,Mundi,,Rural,Inhabitant,00553900,511934,
242,438,Ahmedabad,6167,Dholera,511884,2,Navagam,,Rural,Inhabitant,00548900,511884,
243,438,Ahmedabad,6167,Dholera,511932,2,Otariya,,Rural,Inhabitant,00553700,511932,
244,438,Ahmedabad,6167,Dholera,511937,2,Panchi,,Rural,Inhabitant,00554200,511937,
245,438,Ahmedabad,6167,Dholera,511885,2,Pipli,,Rural,Inhabitant,00549000,511885,
246,438,Ahmedabad,6167,Dholera,511935,2,Rahtalav,,Rural,Inhabitant,00554000,511935,
247,438,Ahmedabad,6167,Dholera,511933,2,Sandhida,,Rural,Inhabitant,00553800,511933,
248,438,Ahmedabad,6167,Dholera,511871,2,Sangasar,,Rural,Inhabitant,00547600,511871,
249,438,Ahmedabad,6167,Dholera,511906,2,Shela,,Rural,Inhabitant,00551100,511906,
250,438,Ahmedabad,6167,Dholera,511851,2,Sodhi,,Rural,Inhabitant,00545500,511851,
251,438,Ahmedabad,6167,Dholera,511903,2,Valinda,,Rural,Inhabitant,00550800,511903,
